,0,0.1,0.1.1,0.1.1.1,0
2PQQS,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
2S6HCCi,0.99746263,0.9975592,0.9984642,0.99653864,0.9782547
31DMTtep,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
31DMTtu,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
34DHALDD,0.9995455,0.9998006,0.9995426,0.9997477,0.9998066
34DHCINMtex,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
34DHCINMtpp,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
34DHOXMANDte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
34DHOXPEGOX,0.99682295,0.9992322,0.99837804,0.9984841,0.9986304
34DHOXPEGt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
34DHPACDO,0.99654585,0.9983291,0.99490017,0.99378514,0.99849844
34DHPEAR,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
34DHPEt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
34DHPHAMT,0.94133353,0.6181487,0.37669694,0.073837735,0.6229949
34DHPHAte,0.15946181,0.0015674767,0.010397579,0.08153531,0.003886178
34DHPHAtpp,7.587957e-05,0.008660972,0.0016590047,0.6371942,0.20435461
34DHPHELAT1tc,2.429913e-05,4.716726e-05,3.0715782e-05,7.3789865e-06,5.8723153e-06
34DHPHEt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
34DHPHEtex,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
34DHPHEtpp,0.99896705,0.9988912,0.99426466,0.9973207,0.9990602
34DHPLACOX_NADP,0.99961686,0.9997235,0.99959487,0.9997621,0.9996669
34DHXMANDACOX,0.9992975,0.99968636,0.99936765,0.99967086,0.9996793
34DHXMANDACOX_NADP,0.9994211,0.9996197,0.999432,0.9997093,0.9994591
34HPLte,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
34HPPOR,0.9793473,0.8258931,0.8750772,0.7196758,0.7183463
34HPPYRI,0.0077127144,0.0019316816,5.8601097e-05,0.00018334333,0.13657044
34HPPte,0.0077127144,0.0019316816,5.8601097e-05,0.00018334333,0.13657044
34PHACTE,0.99645966,0.999141,0.9919193,0.9968207,0.98627603
35DHPVStep,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
35DHPVSthc,8.544593e-05,1.1965361e-05,5.127618e-05,4.2738626e-05,2.4485595e-05
35DIODTYRte,0.031951457,0.01916671,0.0042264587,0.0024058463,0.0128755
35DSMVteb,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
35PHACTE,0.99645966,0.999141,0.9919193,0.9968207,0.98627603
3A2OA,0.9989785,0.9983365,0.9994349,0.9994661,0.99839044
3AIBSYMPt,0.031951476,0.0191667,0.0042264587,0.0024058463,0.0128755
3AIBT2,0.019557929,0.4326878,0.05571981,0.16991313,0.3687637
3AIBt,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3AIBt1,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
3AMBAt2,0.99847394,0.9995864,0.99781334,0.99668866,0.99785465
3AMPt6,0.9986368,0.99959964,0.99790716,0.99710935,0.9981755
3ANTHRNtr,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3C3HMPt,0.0009971315,0.00017348044,0.0010593765,0.0003086157,7.7185774e-05
3CMPt6,0.9985948,0.9996265,0.9980604,0.99702877,0.99798524
3DHCAS,0.9995185,0.9996044,0.99952304,0.999708,0.99977
3DHCDCAS,0.9995185,0.9996044,0.99952304,0.999708,0.99977
3DHCDCHOLabc,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
3DHCDCHOLt,8.544593e-05,1.1965361e-05,5.127613e-05,4.2738626e-05,2.4485595e-05
3DHCDCHOLt2,0.031951476,0.0191667,0.0042264587,0.0024058463,0.0128755
3DHCHOLabc,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
3DHCHOLt,8.544593e-05,1.1965361e-05,5.127618e-05,4.2738626e-05,2.4485595e-05
3DHCHOLt2,0.031951476,0.0191667,0.0042264587,0.0024058463,0.0128755
3DHDCAS,0.9995185,0.9996044,0.99952304,0.999708,0.99977
3DHDCAabc,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
3DHDCAt,8.544585e-05,1.1965361e-05,5.127613e-05,4.2738626e-05,2.4485571e-05
3DHDCAt2,0.031951457,0.01916671,0.004226457,0.0024058463,0.0128755
3DHLCAS,0.9995185,0.9996044,0.99952304,0.999708,0.99977
3DHLCAabc,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
3DHLCAt,8.544585e-05,1.1965361e-05,5.127613e-05,4.2738626e-05,2.4485571e-05
3DHLCAt2,0.031951476,0.0191667,0.0042264587,0.0024058463,0.0128755
3DHPACCOAH,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
3DSPHR,0.9972306,0.9991211,0.99900657,0.99916697,0.9970783
3GMPt6,0.99861956,0.99962616,0.9978927,0.99713033,0.9979062
